NomeFuncionario;NomeProjeto
Alice;Projeto X
Carlos;Projeto Y
Bob;Projeto Z
Diana;Projeto B
Evelyn;Projeto A
Frank;Projeto C
George;Projeto E
Hannah;Projeto F
Ian;Projeto D
Jill;Projeto A
Alice;Projeto B
Carlos;Projeto D
Kevin;Projeto G
Laura;Projeto H
Michael;Projeto I
Nina;Projeto J
Oscar;Projeto K
Paula;Projeto L
Quentin;Projeto M
Rachel;Projeto N
Simon;Projeto O
Tina;Projeto P
Uma;Projeto Q
Victor;Projeto R
Wendy;Projeto S
Xander;Projeto T
Yara;Projeto U
Zach;Projeto V
Anita;Projeto W
Brian;Projeto A
Cathy;Projeto B
David;Projeto C
Elena;Projeto D
Fernando;Projeto E
Gabriela;Projeto F
Helena;Projeto G
Isaac;Projeto H
James;Projeto I
Kara;Projeto J
Luis;Projeto K
Maria;Projeto L
Nick;Projeto M
Olivia;Projeto N
Paul;Projeto O
Queen;Projeto P
Richard;Projeto Q
Sonia;Projeto R
Tom;Projeto S
Ursula;Projeto T
Vera;Projeto U
William;Projeto V
Ximena;Projeto W
Zoe;Projeto X
Alice;Projeto Y
Carlos;Projeto Z
Oscar;Projeto F
Gabriela;Projeto I
Sonia;Projeto A
Xander;Projeto G
Laura;Projeto O
Rachel;Projeto S
Kevin;Projeto Q
Michael;Projeto T
Luis;Projeto R
Oscar;Projeto V
Fernando;Projeto W
Kara;Projeto Z
